"1033","Крутой учитель Онидзука","Как Вы не знакомы с Эйкити Онидзукой, новым классным руководителем отбившегося от рук класса «три-четыре»? Частная «Академия Священного Леса» впервые сталкивается с таким учителем — а он, кажется, не очень-то хорошо знаком со своими непосредственными обязанностями и готов продемонстрировать весьма радикальные педагогические методики!</span>","Аниме"
"1034","Твоё имя","История о парне из Токио и девушке из провинции, которые обнаруживают, что между ними существует странная и необъяснимая связь. Во сне они меняются телами и проживают жизни друг друга. Но однажды эта способность исчезает так же внезапно, как появилась. Таки решает во что бы то ни стало отыскать Мицуху, но способны ли они узнать друг друга в реальной жизни?</span>","Аниме"
"1035","Твоё имя","История о парне из Токио и девушке из провинции, которые обнаруживают, что между ними существует странная и необъяснимая связь. Во сне они меняются телами и проживают жизни друг друга. Но однажды эта способность исчезает так же внезапно, как появилась. Таки решает во что бы то ни стало отыскать Мицуху, но способны ли они узнать друг друга в реальной жизни?</span>","Фэнтези"
"1036","Брошенный кролик","30-летний Дайкити Кавати, холостяк и работоголик, жил-поживал, как обычно, когда пришло известие о смерти деда по матери. Хотя старика он не видел давным-давно, но семья — дело святое, пришлось Дайкити явиться на похороны и отсидеть все положенные церемонии. Тут и выяснилось, что дед Сойти был мужик не промах и в преклонные уже года прижил внебрачную дочку, мать которой после смерти сожителя исчезла по-английски. 6-летняя девочка осталась одна-одинешенька, и дедова родня, особо не сговариваясь, решила отослать «отродье» в приют. Тут и защемило у Дайкити в груди, жалко стало одинокую душу, и он во всеуслышание объявил, что Рин будет жить с ним. Вот так главный герой стал опекуном собственной тети!</span>","Аниме"
"1037","Форма голоса","Молодой человек Сёя Исида внезапно осознаёт, что в школе умудрился превратить жизнь одноклассницы Сёко в ад только потому, что та была глухая. И теперь, хоть и запоздало, парень понял — чтобы сказать нечто важное тому, кто не может тебя услышать, вовсе не обязательно использовать голос.</span>","Аниме"
"1038","Форма голоса","Молодой человек Сёя Исида внезапно осознаёт, что в школе умудрился превратить жизнь одноклассницы Сёко в ад только потому, что та была глухая. И теперь, хоть и запоздало, парень понял — чтобы сказать нечто важное тому, кто не может тебя услышать, вовсе не обязательно использовать голос.</span>","Мультфильмы"
"1039","Форма голоса","Молодой человек Сёя Исида внезапно осознаёт, что в школе умудрился превратить жизнь одноклассницы Сёко в ад только потому, что та была глухая. И теперь, хоть и запоздало, парень понял — чтобы сказать нечто важное тому, кто не может тебя услышать, вовсе не обязательно использовать голос.</span>","Драмы"
"1040","Форма голоса","Молодой человек Сёя Исида внезапно осознаёт, что в школе умудрился превратить жизнь одноклассницы Сёко в ад только потому, что та была глухая. И теперь, хоть и запоздало, парень понял — чтобы сказать нечто важное тому, кто не может тебя услышать, вовсе не обязательно использовать голос.</span>","Мелодрамы"
"1041","Ученик чудовища","Киюта, потерявшийся в Токио мальчик, проникает в альтернативную вселенную, где его растит человек-медведь по имени Куматэцу. Он долгое время обучает мальчика боевым искусствам. В итоге Киюта становится участником катаклизма, охватившего оба мира.</span>","Аниме"
"1042","Ученик чудовища","Киюта, потерявшийся в Токио мальчик, проникает в альтернативную вселенную, где его растит человек-медведь по имени Куматэцу. Он долгое время обучает мальчика боевым искусствам. В итоге Киюта становится участником катаклизма, охватившего оба мира.</span>","Мультфильмы"
"1043","Ученик чудовища","Киюта, потерявшийся в Токио мальчик, проникает в альтернативную вселенную, где его растит человек-медведь по имени Куматэцу. Он долгое время обучает мальчика боевым искусствам. В итоге Киюта становится участником катаклизма, охватившего оба мира.</span>","Семейное кино"
"1044","Ученик чудовища","Киюта, потерявшийся в Токио мальчик, проникает в альтернативную вселенную, где его растит человек-медведь по имени Куматэцу. Он долгое время обучает мальчика боевым искусствам. В итоге Киюта становится участником катаклизма, охватившего оба мира.</span>","Фэнтези"
"1045","Бездомный Бог","Малоизвестный Бог без собственного храма решает помогать каждому встречному в любых желаниях, чтобы получить хоть какое то признание. Однажды он спасает от смерти девушку из состоятельной семьи.</span>","Аниме"
"1046","Бездомный Бог","Малоизвестный Бог без собственного храма решает помогать каждому встречному в любых желаниях, чтобы получить хоть какое то признание. Однажды он спасает от смерти девушку из состоятельной семьи.</span>","Мультфильмы"
"1047","Бездомный Бог","Малоизвестный Бог без собственного храма решает помогать каждому встречному в любых желаниях, чтобы получить хоть какое то признание. Однажды он спасает от смерти девушку из состоятельной семьи.</span>","Приключения"
"1048","Бездомный Бог","Малоизвестный Бог без собственного храма решает помогать каждому встречному в любых желаниях, чтобы получить хоть какое то признание. Однажды он спасает от смерти девушку из состоятельной семьи.</span>","Комедии"
"1049","Бездомный Бог","Малоизвестный Бог без собственного храма решает помогать каждому встречному в любых желаниях, чтобы получить хоть какое то признание. Однажды он спасает от смерти девушку из состоятельной семьи.</span>","Фэнтези"
"1050","Психопаспорт","События аниме происходят в 2112 году. В этом будущем можно мгновенно измерить психическое состояние любого лица и вероятность совершения им преступлений устройством под названием «Психо-Паспорт», установленным на теле каждого гражданина. Если индекс коэффициента преступности оказывается слишком высок, человек вынужден пройти принудительное лечение либо, при необходимости, подлежит уничтожению. Выполнением этой задачи занимаются специальные команды из Бюро общественной безопасности, состоящие из потенциальных преступников (так называемых «псов»), и инспекторов полиции, осуществляющих надзор над своими подопечными. Члены каждой команды получают особое оружие — Доминатор, способное открывать огонь только по тем, чей коэффициент преступности превышает допустимую норму. История повествует о Синье Когами, который должен раскрывать преступления в этом тёмном будущем.</span>","Аниме"
"1051","Токийское восьмибалльное","13-летняя Мирай Онодзава переживает типичный кризис подросткового возраста. Мучительный поиск своего «я», своего места в мире, явное или надуманное непонимание родителей и окружающих — все это заставляет девочку переживать и огрызаться, поверяя тайные мысли, правда, не дневнику, а собственному мобильнику. Да и поездка в самый летний зной с младшим братишкой Юки на выставку роботов вовсе не улучшает ей настроение. Но прогулка по искусственному острову Одайба оборачивается кошмаром — на округ Канто обрушивается землетрясение невиданной силы.</span>","Аниме"
"1052","Дитя погоды","Они встретились посреди Токио под нескончаемым дождем. Он мечтает начать новую жизнь в большом городе. А она никогда не унывает и обладает удивительным даром менять погоду силой мысли. Там, где она — всегда солнце. Вместе они изменят этот мир навсегда.</span>","Аниме"
"1053","Дитя погоды","Они встретились посреди Токио под нескончаемым дождем. Он мечтает начать новую жизнь в большом городе. А она никогда не унывает и обладает удивительным даром менять погоду силой мысли. Там, где она — всегда солнце. Вместе они изменят этот мир навсегда.</span>","Мультфильмы"
"1054","Дитя погоды","Они встретились посреди Токио под нескончаемым дождем. Он мечтает начать новую жизнь в большом городе. А она никогда не унывает и обладает удивительным даром менять погоду силой мысли. Там, где она — всегда солнце. Вместе они изменят этот мир навсегда.</span>","Мелодрамы"
"1055","Дитя погоды","Они встретились посреди Токио под нескончаемым дождем. Он мечтает начать новую жизнь в большом городе. А она никогда не унывает и обладает удивительным даром менять погоду силой мысли. Там, где она — всегда солнце. Вместе они изменят этот мир навсегда.</span>","Фэнтези"
"1056","Ди.Грей-мен","Действие разворачивается в Европе 19 века и рассказывает о Тысячелетнем Графе, строящем планы по уничтожению мира, при помощи созданных им Акума (демон яп.) - человекоподобных существ, представляющих собой живые орудия зла и соединяющих в себе душу умершего человека и механическое тело. И борющихся с ним экзорцистов, входящих в состав Темной Религиозной Организации (Черного Ордена).</span>","Аниме"
"1057","Ди.Грей-мен","Действие разворачивается в Европе 19 века и рассказывает о Тысячелетнем Графе, строящем планы по уничтожению мира, при помощи созданных им Акума (демон яп.) - человекоподобных существ, представляющих собой живые орудия зла и соединяющих в себе душу умершего человека и механическое тело. И борющихся с ним экзорцистов, входящих в состав Темной Религиозной Организации (Черного Ордена).</span>","Мультфильмы"
"1058","Ди.Грей-мен","Действие разворачивается в Европе 19 века и рассказывает о Тысячелетнем Графе, строящем планы по уничтожению мира, при помощи созданных им Акума (демон яп.) - человекоподобных существ, представляющих собой живые орудия зла и соединяющих в себе душу умершего человека и механическое тело. И борющихся с ним экзорцистов, входящих в состав Темной Религиозной Организации (Черного Ордена).</span>","Ужасы"
"1059","Эхо террора","В один из летних дней в Токио произошел крупный террористический акт. Виновниками террора, который «разбудил» самодовольную нацию ото сна, были всего два мальчика. Теперь преступники, известные как «Сфинкс» начали грандиозную игру, которая охватывает всю Японию.</span>","Аниме"
"1060","Однажды в Токио","На улицах шумного Токио обитают трое – пьяница Джин, трансвестит Ханна и бродяга Миюки. Они много лет живут без крыши над головой, питаясь чем попало. Их сердца давно зачерствели и с каждым днем эту троицу все сложнее обрадовать или разозлить. Но однажды их жизнь резко меняется: они находят на улице маленькую девочку, которую кто-то потерял или оставил намеренно. Ребята неожиданно открывают для себя, что все еще способны сопереживать другим, и начинают активно искать родителей малышки. Удастся ли им достичь поставленной цели и как это приключение скажется на их судьбах? Смотрите мультипликационный фильм «Однажды в Токио» (2003) онлайн в кинотеатре Okko. Один из персонажей – дочь Джина – появляется в каждой анимации, снятой режиссером Сатоси Коном. Предлагаем вашему вниманию коллекцию самых популярных фильмов, сериалов и самых свежих новинок. Больше нет необходимости искать, где смотреть онлайн фильм « Однажды в Токио» в хорошем качестве. Гарантируем изображение в Full HD 720 или 1080, чистый звук, лицензионный перевод на русском языке и полное отсутствие рекламы.</span>","Аниме"
"1061","Вокруг света с Вилли Фогом","Возможно ли объехать вокруг света всего лишь за 80 дней? Вопрос, прозвучавший в лондонском клубе Реформы, стал предметом спора. Вилли Фог побился об заклад, что способен на это!</span>","Аниме"
"1062","Вокруг света с Вилли Фогом","Возможно ли объехать вокруг света всего лишь за 80 дней? Вопрос, прозвучавший в лондонском клубе Реформы, стал предметом спора. Вилли Фог побился об заклад, что способен на это!</span>","Мультфильмы"
"1063","Вокруг света с Вилли Фогом","Возможно ли объехать вокруг света всего лишь за 80 дней? Вопрос, прозвучавший в лондонском клубе Реформы, стал предметом спора. Вилли Фог побился об заклад, что способен на это!</span>","Приключения"
"1064","Вокруг света с Вилли Фогом","Возможно ли объехать вокруг света всего лишь за 80 дней? Вопрос, прозвучавший в лондонском клубе Реформы, стал предметом спора. Вилли Фог побился об заклад, что способен на это!</span>","Семейное кино"
"1065","Аниматрица","Братья Вачовски, создатели кинотрилогии о мире «Матрицы», всегда утверждали, что вдохновением для них послужило японское аниме. Именно поэтому они решили создать анимационный приквел своих творений под названием «Аниматрица», несколько сюжетов которой созданы и нарисованы самыми известными режиссерами аниме.</span>","Аниме"
